819 (1257)
346 (3470)
343 (1599)
810 (1267)
812 (1518)
348 (1226)
815 (1358)
718 (1238)
716 (1199)
710 (1044)
424 (1448)
913 (1939)
296 (2210)
294 (1445)
290 (1793)
591 (1241)
593 (2601)
594 (1516)
597 (2883)
598 (3219)
197 (1230)
196 (2096)
192 (2004)
274 (2628)
275 (1692)
276 (2479)
279 (3014)
569 (2835)
526 (2793)
527 (1185)
521 (1582)
522 (2725)
523 (2244)
529 (7057)
449 (1890)
448 (1370)
440 (1943)
100 (1749)
104 (1158)
105 (1100)
39 (4258)
38 (2402)
906 (1444)
33 (1460)
32 (4248)
31 (1666)
37 (1249)
35 (1984)
641 (1494)
438 (4511)
649 (1292)
335 (1345)
334 (2146)
336 (1071)
332 (1861)
854 (2847)
857 (1588)
853 (1804)
859 (1242)
6 (2149)
90 (1875)
93 (2777)
94 (1201)
97 (1466)
814 (1672)
349 (2041)
740 (1632)
744 (2177)
746 (1982)
749 (1330)
550 (1203)
239 (2742)
234 (1416)
236 (2618)
1 (1535)
147 (1383)
618 (1337)
145 (4559)
143 (1417)
140 (2687)
611 (1444)
617 (2614)
614 (3134)
948 (1149)
949 (1414)
946 (1350)
947 (3690)
944 (2794)
941 (1126)
688 (1132)
684 (5408)
687 (1762)
686 (1495)
682 (4132)
458 (1124)
132 (2641)
130 (1711)
494 (5102)
496 (1428)
490 (1066)
25 (1395)
27 (2165)
21 (2666)
28 (1454)
405 (1525)
403 (1722)
401 (3667)
932 (1786)
937 (4681)
935 (1742)
378 (1149)
829 (6810)
825 (3085)
373 (2007)
826 (2022)
820 (1473)
823 (1031)
708 (1090)
704 (1794)
706 (1923)
707 (1354)
701 (1283)
392 (2420)
390 (2685)
394 (1145)
85 (1555)
797 (2684)
414 (1160)
795 (3361)
793 (3063)
792 (1306)
790 (1094)
798 (3103)
170 (1203)
583 (1389)
580 (1667)
581 (2943)
240 (1399)
242 (2325)
511 (1015)
510 (3281)
513 (1287)
515 (1166)
517 (1201)
516 (1544)
623 (1845)
620 (2100)
450 (2082)
628 (1102)
177 (4629)
175 (2791)
173 (1080)
171 (1097)
198 (1461)
975 (1764)
970 (2086)
978 (1141)
183 (3883)
181 (1235)
653 (2634)
185 (1529)
658 (1881)
651 (1288)
10 (1351)
12 (3415)
17 (1683)
860 (1255)
862 (3649)
867 (1530)
883 (4902)
887 (1671)
886 (3053)
885 (3043)
884 (1645)
888 (3686)
322 (1154)
326 (1488)
325 (1022)
775 (3771)
774 (2046)
758 (2860)
205 (3605)
204 (2174)
207 (1214)
208 (1483)
778 (2514)
75 (3151)
73 (2179)
72 (2852)
71 (3507)
70 (2411)
78 (2471)
665 (1297)
663 (2354)
661 (2693)
692 (4993)
694 (2847)
540 (1293)
541 (3735)
546 (1050)
8 (3090)
548 (2843)
995 (1521)
991 (1268)
992 (1116)
998 (2713)
120 (4973)
122 (1081)
125 (1287)
126 (1075)
129 (1547)
928 (1034)
411 (2047)
413 (2637)
921 (2425)
923 (1753)
419 (5057)
319 (1371)
310 (1390)
832 (2062)
834 (1373)
368 (7828)
366 (1031)
362 (4388)
361 (1104)
381 (2959)
385 (1676)
387 (2089)
784 (1257)
780 (2306)
782 (2767)
788 (2386)
789 (4309)
605 (1652)
579 (2164)
578 (1290)
573 (1229)
572 (1589)
571 (2902)
577 (1695)
576 (1337)
574 (1297)
258 (1036)
259 (1522)
68 (1601)
69 (2370)
154 (1447)
733 (1141)
735 (1689)
736 (1470)
738 (2129)
504 (1296)
500 (1444)
630 (1523)
631 (2793)
632 (1070)
469 (1502)
468 (1089)
638 (2288)
639 (1572)
461 (1498)
900 (1165)
168 (1538)
161 (2320)
162 (1450)
163 (1256)
964 (1518)
966 (3921)
967 (1695)
960 (2732)
963 (1327)
878 (2047)
874 (2237)
871 (2810)
890 (1437)
893 (1947)
895 (3385)
897 (1935)
899 (1252)
357 (1142)
809 (2163)
354 (5835)
351 (1641)
350 (3069)
803 (2237)
800 (1916)
805 (1789)
804 (1315)
217 (5375)
214 (1893)
769 (1622)
210 (2009)
763 (1862)
766 (6265)
765 (1705)
956 (3626)
4 (1394)
280 (2108)
283 (4082)
285 (2600)
678 (1329)
674 (2527)
675 (2976)
676 (2717)
673 (1635)
266 (1022)
265 (1359)
58 (1330)
55 (1959)
54 (2595)
57 (2743)
51 (1612)
52 (1983)
534 (1531)
530 (1263)
538 (3982)
201 (1029)
988 (1164)
989 (1289)
982 (1640)
981 (1542)
984 (1756)
115 (1775)
116 (2193)
111 (1171)
110 (1801)
112 (2680)
429 (1037)
428 (1021)
919 (3710)
918 (3012)
914 (4037)
423 (1412)
422 (1255)
910 (1695)
427 (1856)
912 (1009)
308 (1402)
309 (1262)
952 (1574)
846 (1480)
844 (2814)
843 (1222)
841 (1927)
377 (1149)
554 (1114)
752 (2578)
561 (2783)
563 (1065)
567 (1102)
229 (2281)
227 (1818)
722 (5845)
720 (3864)
151 (2611)
606 (2668)
600 (1192)
157 (1140)
634 (2492)
48 (2472)
950 (1463)
45 (1728)
43 (1721)
41 (1353)
5 (1094)
460 (4438)
489 (3420)
487 (3135)
486 (1547)
480 (2309)
509 (3044)
472 (2125)
470 (4137)
471 (2894)
477 (2462)
368 829  (1194)
227 390  (1049)
704 825  (1102)
390 722  (1042)
217 346  (1335)
39 704  (1107)
39 825  (1187)
789 829  (1194)
368 682  (1193)
829 368 682  (40)
